Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[compound2]	Characteristics[dose2]	Unit[concentration unit]	Term Source REF	Term Accession Number	Characteristics[time2]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[compound2]	Factor Value[dose2]	Unit[concentration unit]	Term Source REF	Term Accession Number
Ctrl_12h_IAA_4SU_3	ERS18334889	SAMEA115337024	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_12h_IAA_4SU_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_12h_IAA_4SU_3	sequencing assay	ERX12059559	P-MTAB-141159	Ctrl_12h_IAA_4SU_3_S18_L002_R1_001.fastq.gz	Ctrl_12h_IAA_4SU_3_S18_L002_R1_001.fastq.gz	ERR12685445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/045/ERR12685445/ERR12685445_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_3.bam	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_12h_IAA_4SU_3	ERS18334889	SAMEA115337024	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_12h_IAA_4SU_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_12h_IAA_4SU_3	sequencing assay	ERX12059559	P-MTAB-141159	Ctrl_12h_IAA_4SU_3_S18_L002_R2_001.fastq.gz	Ctrl_12h_IAA_4SU_3_S18_L002_R2_001.fastq.gz	ERR12685445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/045/ERR12685445/ERR12685445_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_3.bam	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_24h_IAA_4SU_1	ERS18334890	SAMEA115337025	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_24h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_24h_IAA_4SU_1	sequencing assay	ERX12059560	P-MTAB-141159	Ctrl_24h_IAA_4SU_1_S19_L002_R2_001.fastq.gz	Ctrl_24h_IAA_4SU_1_S19_L002_R2_001.fastq.gz	ERR12685446	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/046/ERR12685446/ERR12685446_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_24h_IAA_4SU_1	ERS18334890	SAMEA115337025	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_24h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_24h_IAA_4SU_1	sequencing assay	ERX12059560	P-MTAB-141159	Ctrl_24h_IAA_4SU_1_S19_L002_R1_001.fastq.gz	Ctrl_24h_IAA_4SU_1_S19_L002_R1_001.fastq.gz	ERR12685446	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/046/ERR12685446/ERR12685446_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_24h_IAA_4SU_2	ERS18334891	SAMEA115337026	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_24h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_24h_IAA_4SU_2	sequencing assay	ERX12059561	P-MTAB-141159	Ctrl_24h_IAA_4SU_2_S20_L002_R1_001.fastq.gz	Ctrl_24h_IAA_4SU_2_S20_L002_R1_001.fastq.gz	ERR12685447	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/047/ERR12685447/ERR12685447_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_24h_IAA_4SU_2	ERS18334891	SAMEA115337026	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_24h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_24h_IAA_4SU_2	sequencing assay	ERX12059561	P-MTAB-141159	Ctrl_24h_IAA_4SU_2_S20_L002_R2_001.fastq.gz	Ctrl_24h_IAA_4SU_2_S20_L002_R2_001.fastq.gz	ERR12685447	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/047/ERR12685447/ERR12685447_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_24h_IAA_4SU_3	ERS18334892	SAMEA115337027	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_24h_IAA_4SU_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_24h_IAA_4SU_3	sequencing assay	ERX12059562	P-MTAB-141159	Ctrl_24h_IAA_4SU_3_S21_L002_R2_001.fastq.gz	Ctrl_24h_IAA_4SU_3_S21_L002_R2_001.fastq.gz	ERR12685448	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/048/ERR12685448/ERR12685448_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_3.bam	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_24h_IAA_4SU_3	ERS18334892	SAMEA115337027	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_24h_IAA_4SU_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_24h_IAA_4SU_3	sequencing assay	ERX12059562	P-MTAB-141159	Ctrl_24h_IAA_4SU_3_S21_L002_R1_001.fastq.gz	Ctrl_24h_IAA_4SU_3_S21_L002_R1_001.fastq.gz	ERR12685448	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/048/ERR12685448/ERR12685448_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_3.bam	P-MTAB-141921	V. Boehm	Ctrl_24h_IAA_4SU_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Nter_0h_IAA_1	ERS18334893	SAMEA115337028	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_1	sequencing assay	ERX12059563	P-MTAB-141159	Nter_0h_IAA_1_S1_L002_R2_001.fastq.gz	Nter_0h_IAA_1_S1_L002_R2_001.fastq.gz	ERR12685449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/049/ERR12685449/ERR12685449_1.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_1.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	none	0	micromolar	EFO	UO_0000064
Nter_0h_IAA_1	ERS18334893	SAMEA115337028	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_1	sequencing assay	ERX12059563	P-MTAB-141159	Nter_0h_IAA_1_S1_L002_R1_001.fastq.gz	Nter_0h_IAA_1_S1_L002_R1_001.fastq.gz	ERR12685449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/049/ERR12685449/ERR12685449_2.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_1.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	none	0	micromolar	EFO	UO_0000064
Nter_0h_IAA_2	ERS18334894	SAMEA115337029	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_2	sequencing assay	ERX12059564	P-MTAB-141159	Nter_0h_IAA_2_S2_L002_R2_001.fastq.gz	Nter_0h_IAA_2_S2_L002_R2_001.fastq.gz	ERR12685450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/050/ERR12685450/ERR12685450_1.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_2.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	none	0	micromolar	EFO	UO_0000064
Nter_0h_IAA_2	ERS18334894	SAMEA115337029	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_2	sequencing assay	ERX12059564	P-MTAB-141159	Nter_0h_IAA_2_S2_L002_R1_001.fastq.gz	Nter_0h_IAA_2_S2_L002_R1_001.fastq.gz	ERR12685450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/050/ERR12685450/ERR12685450_2.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_2.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	none	0	micromolar	EFO	UO_0000064
Nter_0h_IAA_3	ERS18334895	SAMEA115337030	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_3	sequencing assay	ERX12059565	P-MTAB-141159	Nter_0h_IAA_3_S3_L002_R1_001.fastq.gz	Nter_0h_IAA_3_S3_L002_R1_001.fastq.gz	ERR12685451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/051/ERR12685451/ERR12685451_1.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_3.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	none	0	micromolar	EFO	UO_0000064
Nter_0h_IAA_3	ERS18334895	SAMEA115337030	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_3	sequencing assay	ERX12059565	P-MTAB-141159	Nter_0h_IAA_3_S3_L002_R2_001.fastq.gz	Nter_0h_IAA_3_S3_L002_R2_001.fastq.gz	ERR12685451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/051/ERR12685451/ERR12685451_2.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_3.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	none	0	micromolar	EFO	UO_0000064
Nter_0h_IAA_4SU_1	ERS18334896	SAMEA115337031	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_4SU_1	sequencing assay	ERX12059566	P-MTAB-141159	Nter_0h_IAA_4SU_1_S4_L002_R1_001.fastq.gz	Nter_0h_IAA_4SU_1_S4_L002_R1_001.fastq.gz	ERR12685452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/052/ERR12685452/ERR12685452_1.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Nter_0h_IAA_4SU_1	ERS18334896	SAMEA115337031	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_4SU_1	sequencing assay	ERX12059566	P-MTAB-141159	Nter_0h_IAA_4SU_1_S4_L002_R2_001.fastq.gz	Nter_0h_IAA_4SU_1_S4_L002_R2_001.fastq.gz	ERR12685452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/052/ERR12685452/ERR12685452_2.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Nter_0h_IAA_4SU_2	ERS18334897	SAMEA115337032	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_4SU_2	sequencing assay	ERX12059567	P-MTAB-141159	Nter_0h_IAA_4SU_2_S5_L002_R1_001.fastq.gz	Nter_0h_IAA_4SU_2_S5_L002_R1_001.fastq.gz	ERR12685453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/053/ERR12685453/ERR12685453_1.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Nter_0h_IAA_4SU_2	ERS18334897	SAMEA115337032	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Nter_0h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Nter_0h_IAA_4SU_2	sequencing assay	ERX12059567	P-MTAB-141159	Nter_0h_IAA_4SU_2_S5_L002_R2_001.fastq.gz	Nter_0h_IAA_4SU_2_S5_L002_R2_001.fastq.gz	ERR12685453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/053/ERR12685453/ERR12685453_2.fastq.gz	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Nter_0h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
