Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
A006850331_212516	ERS18921396	SAMEA115489569	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	1	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212516	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212516	sequencing assay	ERX12247765		A006850331_212516_S95_L000_R2_001.fastq.gz	A006850331_212516_S95_L000_R2_001.fastq.gz	ERR12875329	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/029/ERR12875329/ERR12875329_1.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212516.bam	P-MTAB-142812	V. Boehm	A006850331_212516.bam.bai	wild type genotype	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212516	ERS18921396	SAMEA115489569	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	1	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212516	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212516	sequencing assay	ERX12247765		A006850331_212516_S95_L000_R1_001.fastq.gz	A006850331_212516_S95_L000_R1_001.fastq.gz	ERR12875329	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/029/ERR12875329/ERR12875329_2.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212516.bam	P-MTAB-142812	V. Boehm	A006850331_212516.bam.bai	wild type genotype	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212519	ERS18921397	SAMEA115489570	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	2	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212519	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212519	sequencing assay	ERX12247766		A006850331_212519_S96_L000_R2_001.fastq.gz	A006850331_212519_S96_L000_R2_001.fastq.gz	ERR12875330	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/030/ERR12875330/ERR12875330_1.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212519.bam	P-MTAB-142812	V. Boehm	A006850331_212519.bam.bai	wild type genotype	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212519	ERS18921397	SAMEA115489570	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	2	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212519	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212519	sequencing assay	ERX12247766		A006850331_212519_S96_L000_R1_001.fastq.gz	A006850331_212519_S96_L000_R1_001.fastq.gz	ERR12875330	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/030/ERR12875330/ERR12875330_2.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212519.bam	P-MTAB-142812	V. Boehm	A006850331_212519.bam.bai	wild type genotype	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212521	ERS18921398	SAMEA115489571	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	3	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212521	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212521	sequencing assay	ERX12247767		A006850331_212521_S97_L000_R1_001.fastq.gz	A006850331_212521_S97_L000_R1_001.fastq.gz	ERR12875331	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/031/ERR12875331/ERR12875331_1.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212521.bam	P-MTAB-142812	V. Boehm	A006850331_212521.bam.bai	wild type genotype	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212521	ERS18921398	SAMEA115489571	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	3	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212521	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212521	sequencing assay	ERX12247767		A006850331_212521_S97_L000_R2_001.fastq.gz	A006850331_212521_S97_L000_R2_001.fastq.gz	ERR12875331	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/031/ERR12875331/ERR12875331_2.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212521.bam	P-MTAB-142812	V. Boehm	A006850331_212521.bam.bai	wild type genotype	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212523	ERS18921399	SAMEA115489572	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	SMG8-KO-AA-clone B	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212523	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212523	sequencing assay	ERX12247768		A006850331_212523_S98_L000_R2_001.fastq.gz	A006850331_212523_S98_L000_R2_001.fastq.gz	ERR12875332	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/032/ERR12875332/ERR12875332_1.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212523.bam	P-MTAB-142812	V. Boehm	A006850331_212523.bam.bai	SMG8-KO-AA-clone B	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212523	ERS18921399	SAMEA115489572	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	SMG8-KO-AA-clone B	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212523	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212523	sequencing assay	ERX12247768		A006850331_212523_S98_L000_R1_001.fastq.gz	A006850331_212523_S98_L000_R1_001.fastq.gz	ERR12875332	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/032/ERR12875332/ERR12875332_2.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212523.bam	P-MTAB-142812	V. Boehm	A006850331_212523.bam.bai	SMG8-KO-AA-clone B	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212525	ERS18921400	SAMEA115489573	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	SMG8-KO-AA-clone B	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212525	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212525	sequencing assay	ERX12247769		A006850331_212525_S99_L000_R2_001.fastq.gz	A006850331_212525_S99_L000_R2_001.fastq.gz	ERR12875333	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/033/ERR12875333/ERR12875333_1.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212525.bam	P-MTAB-142812	V. Boehm	A006850331_212525.bam.bai	SMG8-KO-AA-clone B	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212525	ERS18921400	SAMEA115489573	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	SMG8-KO-AA-clone B	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212525	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212525	sequencing assay	ERX12247769		A006850331_212525_S99_L000_R1_001.fastq.gz	A006850331_212525_S99_L000_R1_001.fastq.gz	ERR12875333	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/033/ERR12875333/ERR12875333_2.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212525.bam	P-MTAB-142812	V. Boehm	A006850331_212525.bam.bai	SMG8-KO-AA-clone B	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850331_212527	ERS18921401	SAMEA115489574	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	SMG8-KO-AA-clone B	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-142806	S. Kückelmann	P-MTAB-142810	S. Kückelmann	P-MTAB-142811	S. Kückelmann	P-MTAB-142807	S. Kückelmann	P-MTAB-142808	Cologne Center for Genomics (CCG)	A006850331_212527	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-142809	Cologne Center for Genomics (CCG)	A006850331_212527	sequencing assay	ERX12247770		A006850331_212527_S100_L000_R1_001.fastq.gz	A006850331_212527_S100_L000_R1_001.fastq.gz	ERR12875334	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/034/ERR12875334/ERR12875334_1.fastq.gz	P-MTAB-142812	V. Boehm	A006850331_212527.bam	P-MTAB-142812	V. Boehm	A006850331_212527.bam.bai	SMG8-KO-AA-clone B	SMG1i	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
