Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[genotype]	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genotype]	Factor Value[RNA interference]
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006200038_106032_S2_L002_R1_001.fastq.gz	A006200038_106032_S2_L002_R1_001.fastq.gz	ERR3618017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/007/ERR3618017/ERR3618017_1.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006200038_106032_S2_L002_R2_001.fastq.gz	A006200038_106032_S2_L002_R2_001.fastq.gz	ERR3618017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/007/ERR3618017/ERR3618017_2.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006850026_106032_S2_L003_R1_001.fastq.gz	A006850026_106032_S2_L003_R1_001.fastq.gz	ERR3618018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/008/ERR3618018/ERR3618018_1.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006850026_106032_S2_L003_R2_001.fastq.gz	A006850026_106032_S2_L003_R2_001.fastq.gz	ERR3618018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/008/ERR3618018/ERR3618018_2.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006850026_106032_S2_L004_R1_001.fastq.gz	A006850026_106032_S2_L004_R1_001.fastq.gz	ERR3618019	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/009/ERR3618019/ERR3618019_1.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006850026_106032_S2_L004_R2_001.fastq.gz	A006850026_106032_S2_L004_R2_001.fastq.gz	ERR3618019	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/009/ERR3618019/ERR3618019_2.fastq.gz	wild type genotype	none
106034	ERS3917160	SAMEA6116900	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT3	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106034	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106034	sequencing assay	ERX3613465	A006200038_106034_S3_L001_R1_001.fastq.gz	A006200038_106034_S3_L001_R1_001.fastq.gz	ERR3618020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/000/ERR3618020/ERR3618020_1.fastq.gz	wild type genotype	none
106034	ERS3917160	SAMEA6116900	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT3	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106034	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106034	sequencing assay	ERX3613465	A006200038_106034_S3_L001_R2_001.fastq.gz	A006200038_106034_S3_L001_R2_001.fastq.gz	ERR3618020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/000/ERR3618020/ERR3618020_2.fastq.gz	wild type genotype	none
106034	ERS3917160	SAMEA6116900	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT3	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106034	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106034	sequencing assay	ERX3613465	A006200038_106034_S3_L002_R1_001.fastq.gz	A006200038_106034_S3_L002_R1_001.fastq.gz	ERR3618021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/001/ERR3618021/ERR3618021_1.fastq.gz	wild type genotype	none
106034	ERS3917160	SAMEA6116900	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT3	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106034	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106034	sequencing assay	ERX3613465	A006200038_106034_S3_L002_R2_001.fastq.gz	A006200038_106034_S3_L002_R2_001.fastq.gz	ERR3618021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/001/ERR3618021/ERR3618021_2.fastq.gz	wild type genotype	none
