Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,transient_transfection,library_strategy,stably_transfected_reporter
SRR1574727,OTHER,36,3600989856,PRJNA260967,SAMN03067833,2639220356,HeLa,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX700551,GSM1503899,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:25:00Z,1,GSM1503899,HeLa+TCRß68,SRP047097,siSMG6 and siXRN1,PARE,TCRß68
SRR1574728,OTHER,50,9730435800,PRJNA260967,SAMN03067834,6231607211,HeLa,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX700552,GSM1503900,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:42:00Z,1,GSM1503900,HeLa+TCRß68,SRP047097,siUPF1 and siXRN1,PARE,TCRß68
SRR1574729,OTHER,36,808258968,PRJNA260967,SAMN03067835,630852607,HeLa,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX700553,GSM1503901,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:13:00Z,1,GSM1503901,HeLa+TCRß68,SRP047097,siGL2 and siXRN1,C-PARE,TCRß68
SRR1574730,OTHER,36,702110556,PRJNA260967,SAMN03067836,543288033,HeLa,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX700554,GSM1503902,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:13:00Z,1,GSM1503902,HeLa+TCRß68,SRP047097,siSMG6 and siXRN1,C-PARE,TCRß68
SRR1574731,OTHER,36,777203352,PRJNA260967,SAMN03067837,607506090,HeLa,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX700555,GSM1503903,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:13:00Z,1,GSM1503903,HeLa+TCRß68,SRP047097,siUPF1 and siXRN1,C-PARE,TCRß68
SRR1574737,RNA-Seq,50,1417560550,PRJNA260967,SAMN03067843,1115189298,HeLa,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX700561,GSM1503909,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:17:00Z,1,GSM1503909,HeLa+TCRß68,SRP047097,siUPF1 and siXRN1,,TCRß68
SRR1574738,OTHER,51,270974271,PRJNA260967,SAMN03067844,193668318,HeLa,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX700562,GSM1503910,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:12:00Z,1,GSM1503910,HeLa,SRP047097,TCRß68U_wt,SPARE,
SRR1574739,OTHER,51,179783619,PRJNA260967,SAMN03067845,125064181,HeLa,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX700563,GSM1503911,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:11:00Z,1,GSM1503911,HeLa,SRP047097,TCRß68U_Fav1,SPARE,
SRR1574740,OTHER,51,175976673,PRJNA260967,SAMN03067846,124985574,HeLa,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX700564,GSM1503912,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:11:00Z,1,GSM1503912,HeLa,SRP047097,TCRß68U_Fav2,SPARE,
SRR1574747,OTHER,51,342334287,PRJNA260967,SAMN03067853,214717082,HeLa,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX700571,GSM1503919,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:13:00Z,1,GSM1503919,HeLa,SRP047097,TCRß68U_Fav1,SPARE,
SRR1574748,OTHER,51,268154838,PRJNA260967,SAMN03067854,176068677,HeLa,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX700572,GSM1503920,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:14:00Z,1,GSM1503920,HeLa,SRP047097,TCRß68U_Fav2,SPARE,
SRR1574749,OTHER,51,136910418,PRJNA260967,SAMN03067819,90985847,HeLa,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX700573,GSM1503921,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:14:00Z,1,GSM1503921,HeLa,SRP047097,TCRß68U_Fav3,SPARE,
SRR1574750,OTHER,51,312356436,PRJNA260967,SAMN03067820,205664603,HeLa,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX700574,GSM1503922,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:14:00Z,1,GSM1503922,HeLa,SRP047097,TCRß68U_Unfav1,SPARE,
