Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR19430615,RNA-Seq,300,33688110300,PRJNA843032,SAMN28698382,10476603619,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15484109,Illumina NovaSeq 6000,GSM6203745,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T23:05:00Z,2,GSM6203745,K652,SRP377415,UPF1-kd
SRR19430616,RNA-Seq,300,30666263400,PRJNA843032,SAMN28698383,9504488622,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX15484108,Illumina NovaSeq 6000,GSM6203744,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T23:19:00Z,2,GSM6203744,K652,SRP377415,UPF1-kd
SRR19430617,RNA-Seq,300,24531002100,PRJNA843032,SAMN28698384,7878283802,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX15484107,Illumina NovaSeq 6000,GSM6203743,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T22:56:00Z,2,GSM6203743,K652,SRP377415,UPF1-kd
SRR19430618,RNA-Seq,300,26855385300,PRJNA843032,SAMN28698385,8433038180,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX15484106,Illumina NovaSeq 6000,GSM6203742,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T22:56:00Z,2,GSM6203742,K652,SRP377415,DHX34-kd
SRR19430619,RNA-Seq,300,24167880600,PRJNA843032,SAMN28698386,7501736229,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX15484105,Illumina NovaSeq 6000,GSM6203741,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T22:42:00Z,2,GSM6203741,K652,SRP377415,DHX34-kd
SRR19430620,RNA-Seq,300,32948369700,PRJNA843032,SAMN28698387,10261536744,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX15484104,Illumina NovaSeq 6000,GSM6203740,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T23:03:00Z,2,GSM6203740,K652,SRP377415,DHX34-kd
SRR19430621,RNA-Seq,300,30050773800,PRJNA843032,SAMN28698388,9600374547,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX15484103,Illumina NovaSeq 6000,GSM6203739,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T22:44:00Z,2,GSM6203739,K652,SRP377415,WT
SRR19430622,RNA-Seq,300,23828603400,PRJNA843032,SAMN28698389,7660552819,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX15484102,Illumina NovaSeq 6000,GSM6203738,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T22:42:00Z,2,GSM6203738,K652,SRP377415,WT
SRR19430623,RNA-Seq,300,24205943700,PRJNA843032,SAMN28698390,7772765034,K652,immortalised myelogenous leukemia cell line,"MRC HGU, UNIVERSITY OF EDINBURGH",public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX15484101,Illumina NovaSeq 6000,GSM6203737,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-20T00:00:00Z,2023-07-01T22:50:00Z,2,GSM6203737,K652,SRP377415,WT
