Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[recovery]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]	Factor Value[recovery]	Unit[time unit]
200699	ERS24934167	SAMEA118544303	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	3	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200699	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200699	sequencing assay	ERX14514555	A006850289_200699_S21_L000_R1_001.fastq.gz	A006850289_200699_S21_L000_R1_001.fastq.gz	ERR15109857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/057/ERR15109857/ERR15109857_1.fastq.gz	P-MTAB-156251	V. Boehm	200699.bam	P-MTAB-156251	V. Boehm	200699.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	0	hour
200699	ERS24934167	SAMEA118544303	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	3	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200699	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200699	sequencing assay	ERX14514555	A006850289_200699_S21_L000_R2_001.fastq.gz	A006850289_200699_S21_L000_R2_001.fastq.gz	ERR15109857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/057/ERR15109857/ERR15109857_2.fastq.gz	P-MTAB-156251	V. Boehm	200699.bam	P-MTAB-156251	V. Boehm	200699.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	0	hour
200701	ERS24934168	SAMEA118544304	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200701	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200701	sequencing assay	ERX14514556	A006850289_200701_S22_L000_R1_001.fastq.gz	A006850289_200701_S22_L000_R1_001.fastq.gz	ERR15109858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/058/ERR15109858/ERR15109858_1.fastq.gz	P-MTAB-156251	V. Boehm	200701.bam	P-MTAB-156251	V. Boehm	200701.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	2	hour
200701	ERS24934168	SAMEA118544304	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200701	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200701	sequencing assay	ERX14514556	A006850289_200701_S22_L000_R2_001.fastq.gz	A006850289_200701_S22_L000_R2_001.fastq.gz	ERR15109858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/058/ERR15109858/ERR15109858_2.fastq.gz	P-MTAB-156251	V. Boehm	200701.bam	P-MTAB-156251	V. Boehm	200701.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	2	hour
200703	ERS24934169	SAMEA118544305	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	hour	EFO	UO_0000032	2	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200703	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200703	sequencing assay	ERX14514557	A006850289_200703_S23_L000_R1_001.fastq.gz	A006850289_200703_S23_L000_R1_001.fastq.gz	ERR15109859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/059/ERR15109859/ERR15109859_1.fastq.gz	P-MTAB-156251	V. Boehm	200703.bam	P-MTAB-156251	V. Boehm	200703.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	2	hour
200703	ERS24934169	SAMEA118544305	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	hour	EFO	UO_0000032	2	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200703	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200703	sequencing assay	ERX14514557	A006850289_200703_S23_L000_R2_001.fastq.gz	A006850289_200703_S23_L000_R2_001.fastq.gz	ERR15109859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/059/ERR15109859/ERR15109859_2.fastq.gz	P-MTAB-156251	V. Boehm	200703.bam	P-MTAB-156251	V. Boehm	200703.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	2	hour
200705	ERS24934170	SAMEA118544306	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	hour	EFO	UO_0000032	3	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200705	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200705	sequencing assay	ERX14514558	A006850289_200705_S24_L000_R1_001.fastq.gz	A006850289_200705_S24_L000_R1_001.fastq.gz	ERR15109860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/060/ERR15109860/ERR15109860_1.fastq.gz	P-MTAB-156251	V. Boehm	200705.bam	P-MTAB-156251	V. Boehm	200705.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	2	hour
200705	ERS24934170	SAMEA118544306	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	hour	EFO	UO_0000032	3	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200705	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200705	sequencing assay	ERX14514558	A006850289_200705_S24_L000_R2_001.fastq.gz	A006850289_200705_S24_L000_R2_001.fastq.gz	ERR15109860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/060/ERR15109860/ERR15109860_2.fastq.gz	P-MTAB-156251	V. Boehm	200705.bam	P-MTAB-156251	V. Boehm	200705.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	2	hour
200707	ERS24934171	SAMEA118544307	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	4	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200707	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200707	sequencing assay	ERX14514559	A006850289_200707_S25_L000_R1_001.fastq.gz	A006850289_200707_S25_L000_R1_001.fastq.gz	ERR15109861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/061/ERR15109861/ERR15109861_1.fastq.gz	P-MTAB-156251	V. Boehm	200707.bam	P-MTAB-156251	V. Boehm	200707.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	4	hour
200707	ERS24934171	SAMEA118544307	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	4	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200707	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200707	sequencing assay	ERX14514559	A006850289_200707_S25_L000_R2_001.fastq.gz	A006850289_200707_S25_L000_R2_001.fastq.gz	ERR15109861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/061/ERR15109861/ERR15109861_2.fastq.gz	P-MTAB-156251	V. Boehm	200707.bam	P-MTAB-156251	V. Boehm	200707.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	4	hour
