GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE162199	GSM4946411	perturbation_mechanism	treatment	siEIF4A3-1 KD
GSE162199	GSM4946411	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946411	tissue_field	cell.line	HEK293T
GSE162199	GSM4946412	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946412	control_term	genotype	WT
GSE162199	GSM4946412	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946412	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946412	perturbation_mechanism	treatment	siEIF4A3-1 KD
GSE162199	GSM4946412	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946412	tissue_field	cell.line	HEK293T
GSE162199	GSM4946413	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946413	control_term	genotype	WT
GSE162199	GSM4946413	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946413	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946413	perturbation_mechanism	treatment	siEIF4A3-1 KD
GSE162199	GSM4946413	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946413	tissue_field	cell.line	HEK293T
GSE162199	GSM4946414	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946414	control_term	genotype	WT
GSE162199	GSM4946414	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946414	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946414	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946414	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946414	tissue_field	cell.line	HEK293T
GSE162199	GSM4946415	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946415	control_term	genotype	WT
GSE162199	GSM4946415	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946415	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946415	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946415	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946415	tissue_field	cell.line	HEK293T
GSE162199	GSM4946416	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946416	control_term	genotype	WT
GSE162199	GSM4946416	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946416	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946416	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946416	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946416	tissue_field	cell.line	HEK293T
GSE162199	GSM4946417	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946417	control_term	genotype	WT
GSE162199	GSM4946417	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946417	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946417	perturbation_mechanism	treatment	siEIF4A3-2 KD
GSE162199	GSM4946417	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946417	tissue_field	cell.line	HEK293T
GSE162199	GSM4946418	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946418	control_term	genotype	WT
GSE162199	GSM4946418	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946418	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946418	perturbation_mechanism	treatment	siEIF4A3-2 KD
GSE162199	GSM4946418	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946418	tissue_field	cell.line	HEK293T
GSE162199	GSM4946419	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946419	control_term	genotype	WT
GSE162199	GSM4946419	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946419	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946419	perturbation_mechanism	treatment	siEIF4A3-2 KD
GSE162199	GSM4946419	tissue_field	source_name_ch1	HEK293T
GSE162199	GSM4946419	tissue_field	cell.line	HEK293T
GSE162199	GSM4946420	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946420	control_term	genotype	WT
GSE162199	GSM4946420	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946420	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946420	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946420	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946420	tissue_field	cell.line	HeLa
GSE162199	GSM4946421	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946421	control_term	genotype	WT
GSE162199	GSM4946421	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946421	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946421	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946421	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946421	tissue_field	cell.line	HeLa
GSE162199	GSM4946422	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946422	control_term	genotype	WT
GSE162199	GSM4946422	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946422	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946422	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946422	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946422	tissue_field	cell.line	HeLa
GSE162199	GSM4946423	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946423	control_term	genotype	WT
GSE162199	GSM4946423	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946423	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946423	perturbation_mechanism	treatment	siUPF1 KD
GSE162199	GSM4946423	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946423	tissue_field	cell.line	HeLa
GSE162199	GSM4946424	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946424	control_term	genotype	WT
GSE162199	GSM4946424	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946424	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946424	perturbation_mechanism	treatment	siUPF1 KD
GSE162199	GSM4946424	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946424	tissue_field	cell.line	HeLa
GSE162199	GSM4946425	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946425	control_term	genotype	WT
GSE162199	GSM4946425	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946425	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946425	perturbation_mechanism	treatment	siUPF1 KD
GSE162199	GSM4946425	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946425	tissue_field	cell.line	HeLa
GSE162199	GSM4946426	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946426	control_term	genotype	WT
GSE162199	GSM4946426	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946426	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946426	perturbation_mechanism	treatment	siRNPS1 KD
GSE162199	GSM4946426	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946426	tissue_field	cell.line	HeLa
GSE162199	GSM4946427	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946427	control_term	genotype	WT
GSE162199	GSM4946427	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946427	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946427	perturbation_mechanism	treatment	siRNPS1 KD
GSE162199	GSM4946427	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946427	tissue_field	cell.line	HeLa
GSE162199	GSM4946428	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946428	control_term	genotype	WT
GSE162199	GSM4946428	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946428	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946428	perturbation_mechanism	treatment	siRNPS1 KD
GSE162199	GSM4946428	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946428	tissue_field	cell.line	HeLa
GSE162199	GSM4946429	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946429	control_term	genotype	WT
GSE162199	GSM4946429	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946429	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946429	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946429	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946429	tissue_field	cell.line	HeLa
GSE162199	GSM4946430	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946430	control_term	genotype	WT
GSE162199	GSM4946430	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946430	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946430	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946430	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946430	tissue_field	cell.line	HeLa
GSE162199	GSM4946431	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946431	control_term	genotype	WT
GSE162199	GSM4946431	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946431	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946431	perturbation_mechanism	treatment	siControl KD
GSE162199	GSM4946431	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946431	tissue_field	cell.line	HeLa
GSE162199	GSM4946432	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946432	control_term	genotype	WT
GSE162199	GSM4946432	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946432	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946432	perturbation_mechanism	treatment	siEIF4A3-1 KD
GSE162199	GSM4946432	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946432	tissue_field	cell.line	HeLa
GSE162199	GSM4946433	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946433	control_term	genotype	WT
GSE162199	GSM4946433	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946433	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946433	perturbation_mechanism	treatment	siEIF4A3-1 KD
GSE162199	GSM4946433	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946433	tissue_field	cell.line	HeLa
GSE162199	GSM4946434	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946434	control_term	genotype	WT
GSE162199	GSM4946434	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946434	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946434	perturbation_mechanism	treatment	siEIF4A3-1 KD
GSE162199	GSM4946434	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946434	tissue_field	cell.line	HeLa
GSE162199	GSM4946435	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946435	control_term	genotype	WT
GSE162199	GSM4946435	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946435	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946435	perturbation_mechanism	treatment	siRBM8A-1 KD
GSE162199	GSM4946435	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946435	tissue_field	cell.line	HeLa
GSE162199	GSM4946436	control_term	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946436	control_term	genotype	WT
GSE162199	GSM4946436	perturbation_mechanism	data_processing3	For MPm6A: Reads were mapped back to a reference genome containing the designed sequences with HISAT27 (version 2.1.0), with option -k 1. Counts for each sequence were calculated with samtools (version 1.7) idxstats and sequences with at least 10 counts for all barcoded experimental and mutant sequences were retained.
GSE162199	GSM4946436	perturbation_mechanism	data_processing5	For RNA-seq: DESeq2 (version 1.18.1 ) was used to detect differentially expressed genes using a significance threshold of adjusted p-value <.05.12 To identify genes that have a significant change in response to EJC KD in WT vs. METTL3mut cells, the design formula ~ genotype + treatment + genotype:treatment was used.
GSE162199	GSM4946436	perturbation_mechanism	treatment	siRBM8A-1 KD
GSE162199	GSM4946436	tissue_field	source_name_ch1	HeLa
GSE162199	GSM4946436	tissue_field	cell.line	HeLa
