Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]
DX533_329740	ERS28356031	SAMEA120833805	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329740	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329740	sequencing assay	ERX15431374	DX533_329740_25R442-11_S75_L000_R2_001.fastq.gz	DX533_329740_25R442-11_S75_L000_R2_001.fastq.gz	ERR16040684	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/084/ERR16040684/ERR16040684_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329740.bam	P-MTAB-161410	V. Boehm	DX533_329740.bam.bai	wild type genotype	SMG1i	0.1	micromolar	24	hour
DX533_329740	ERS28356031	SAMEA120833805	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329740	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329740	sequencing assay	ERX15431374	DX533_329740_25R442-11_S75_L000_R1_001.fastq.gz	DX533_329740_25R442-11_S75_L000_R1_001.fastq.gz	ERR16040684	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/084/ERR16040684/ERR16040684_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329740.bam	P-MTAB-161410	V. Boehm	DX533_329740.bam.bai	wild type genotype	SMG1i	0.1	micromolar	24	hour
DX533_329741	ERS28356032	SAMEA120833806	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329741	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329741	sequencing assay	ERX15431375	DX533_329741_25R442-12_S76_L000_R1_001.fastq.gz	DX533_329741_25R442-12_S76_L000_R1_001.fastq.gz	ERR16040685	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/085/ERR16040685/ERR16040685_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329741.bam	P-MTAB-161410	V. Boehm	DX533_329741.bam.bai	wild type genotype	SMG1i	0.1	micromolar	24	hour
DX533_329741	ERS28356032	SAMEA120833806	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329741	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329741	sequencing assay	ERX15431375	DX533_329741_25R442-12_S76_L000_R2_001.fastq.gz	DX533_329741_25R442-12_S76_L000_R2_001.fastq.gz	ERR16040685	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/085/ERR16040685/ERR16040685_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329741.bam	P-MTAB-161410	V. Boehm	DX533_329741.bam.bai	wild type genotype	SMG1i	0.1	micromolar	24	hour
DX533_329742	ERS28356033	SAMEA120833807	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329742	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329742	sequencing assay	ERX15431376	DX533_329742_25R442-13_S77_L000_R1_001.fastq.gz	DX533_329742_25R442-13_S77_L000_R1_001.fastq.gz	ERR16040686	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/086/ERR16040686/ERR16040686_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329742.bam	P-MTAB-161410	V. Boehm	DX533_329742.bam.bai	SMG8-KO-clone 4	SMG1i	0.1	micromolar	24	hour
DX533_329742	ERS28356033	SAMEA120833807	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329742	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329742	sequencing assay	ERX15431376	DX533_329742_25R442-13_S77_L000_R2_001.fastq.gz	DX533_329742_25R442-13_S77_L000_R2_001.fastq.gz	ERR16040686	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/086/ERR16040686/ERR16040686_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329742.bam	P-MTAB-161410	V. Boehm	DX533_329742.bam.bai	SMG8-KO-clone 4	SMG1i	0.1	micromolar	24	hour
DX533_329743	ERS28356034	SAMEA120833808	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329743	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329743	sequencing assay	ERX15431377	DX533_329743_25R442-14_S78_L000_R1_001.fastq.gz	DX533_329743_25R442-14_S78_L000_R1_001.fastq.gz	ERR16040687	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/087/ERR16040687/ERR16040687_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329743.bam	P-MTAB-161410	V. Boehm	DX533_329743.bam.bai	SMG8-KO-clone 4	SMG1i	0.1	micromolar	24	hour
DX533_329743	ERS28356034	SAMEA120833808	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329743	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329743	sequencing assay	ERX15431377	DX533_329743_25R442-14_S78_L000_R2_001.fastq.gz	DX533_329743_25R442-14_S78_L000_R2_001.fastq.gz	ERR16040687	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/087/ERR16040687/ERR16040687_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329743.bam	P-MTAB-161410	V. Boehm	DX533_329743.bam.bai	SMG8-KO-clone 4	SMG1i	0.1	micromolar	24	hour
DX533_329744	ERS28356035	SAMEA120833809	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329744	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329744	sequencing assay	ERX15431378	DX533_329744_25R442-15_S79_L000_R2_001.fastq.gz	DX533_329744_25R442-15_S79_L000_R2_001.fastq.gz	ERR16040688	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/088/ERR16040688/ERR16040688_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329744.bam	P-MTAB-161410	V. Boehm	DX533_329744.bam.bai	SMG8-KO-clone 4	SMG1i	0.1	micromolar	24	hour
DX533_329744	ERS28356035	SAMEA120833809	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329744	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329744	sequencing assay	ERX15431378	DX533_329744_25R442-15_S79_L000_R1_001.fastq.gz	DX533_329744_25R442-15_S79_L000_R1_001.fastq.gz	ERR16040688	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/088/ERR16040688/ERR16040688_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329744.bam	P-MTAB-161410	V. Boehm	DX533_329744.bam.bai	SMG8-KO-clone 4	SMG1i	0.1	micromolar	24	hour
DX533_329745	ERS28356036	SAMEA120833810	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329745	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329745	sequencing assay	ERX15431379	DX533_329745_25R442-16_S80_L000_R1_001.fastq.gz	DX533_329745_25R442-16_S80_L000_R1_001.fastq.gz	ERR16040689	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/089/ERR16040689/ERR16040689_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329745.bam	P-MTAB-161410	V. Boehm	DX533_329745.bam.bai	SMG9-KO-clone 7B	SMG1i	0.1	micromolar	24	hour
DX533_329745	ERS28356036	SAMEA120833810	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329745	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329745	sequencing assay	ERX15431379	DX533_329745_25R442-16_S80_L000_R2_001.fastq.gz	DX533_329745_25R442-16_S80_L000_R2_001.fastq.gz	ERR16040689	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/089/ERR16040689/ERR16040689_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329745.bam	P-MTAB-161410	V. Boehm	DX533_329745.bam.bai	SMG9-KO-clone 7B	SMG1i	0.1	micromolar	24	hour
DX533_329746	ERS28356037	SAMEA120833811	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329746	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329746	sequencing assay	ERX15431380	DX533_329746_25R442-17_S81_L000_R1_001.fastq.gz	DX533_329746_25R442-17_S81_L000_R1_001.fastq.gz	ERR16040690	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/090/ERR16040690/ERR16040690_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329746.bam	P-MTAB-161410	V. Boehm	DX533_329746.bam.bai	SMG9-KO-clone 7B	SMG1i	0.1	micromolar	24	hour
DX533_329746	ERS28356037	SAMEA120833811	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329746	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329746	sequencing assay	ERX15431380	DX533_329746_25R442-17_S81_L000_R2_001.fastq.gz	DX533_329746_25R442-17_S81_L000_R2_001.fastq.gz	ERR16040690	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/090/ERR16040690/ERR16040690_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329746.bam	P-MTAB-161410	V. Boehm	DX533_329746.bam.bai	SMG9-KO-clone 7B	SMG1i	0.1	micromolar	24	hour
DX533_329747	ERS28356038	SAMEA120833812	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329747	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329747	sequencing assay	ERX15431381	DX533_329747_25R442-18_S82_L000_R2_001.fastq.gz	DX533_329747_25R442-18_S82_L000_R2_001.fastq.gz	ERR16040691	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/091/ERR16040691/ERR16040691_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329747.bam	P-MTAB-161410	V. Boehm	DX533_329747.bam.bai	SMG9-KO-clone 7B	SMG1i	0.1	micromolar	24	hour
DX533_329747	ERS28356038	SAMEA120833812	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329747	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329747	sequencing assay	ERX15431381	DX533_329747_25R442-18_S82_L000_R1_001.fastq.gz	DX533_329747_25R442-18_S82_L000_R1_001.fastq.gz	ERR16040691	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/091/ERR16040691/ERR16040691_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329747.bam	P-MTAB-161410	V. Boehm	DX533_329747.bam.bai	SMG9-KO-clone 7B	SMG1i	0.1	micromolar	24	hour
DX533_329748	ERS28356039	SAMEA120833813	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329748	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329748	sequencing assay	ERX15431382	DX533_329748_25R442-19_S83_L000_R1_001.fastq.gz	DX533_329748_25R442-19_S83_L000_R1_001.fastq.gz	ERR16040692	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/092/ERR16040692/ERR16040692_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329748.bam	P-MTAB-161410	V. Boehm	DX533_329748.bam.bai	wild type genotype	SMG1i	1	micromolar	24	hour
DX533_329748	ERS28356039	SAMEA120833813	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329748	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329748	sequencing assay	ERX15431382	DX533_329748_25R442-19_S83_L000_R2_001.fastq.gz	DX533_329748_25R442-19_S83_L000_R2_001.fastq.gz	ERR16040692	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/092/ERR16040692/ERR16040692_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329748.bam	P-MTAB-161410	V. Boehm	DX533_329748.bam.bai	wild type genotype	SMG1i	1	micromolar	24	hour
DX533_329749	ERS28356040	SAMEA120833814	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329749	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329749	sequencing assay	ERX15431383	DX533_329749_25R442-20_S84_L000_R1_001.fastq.gz	DX533_329749_25R442-20_S84_L000_R1_001.fastq.gz	ERR16040693	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/093/ERR16040693/ERR16040693_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329749.bam	P-MTAB-161410	V. Boehm	DX533_329749.bam.bai	wild type genotype	SMG1i	1	micromolar	24	hour
DX533_329749	ERS28356040	SAMEA120833814	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329749	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329749	sequencing assay	ERX15431383	DX533_329749_25R442-20_S84_L000_R2_001.fastq.gz	DX533_329749_25R442-20_S84_L000_R2_001.fastq.gz	ERR16040693	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/093/ERR16040693/ERR16040693_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329749.bam	P-MTAB-161410	V. Boehm	DX533_329749.bam.bai	wild type genotype	SMG1i	1	micromolar	24	hour
DX533_329750	ERS28356041	SAMEA120833815	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329750	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329750	sequencing assay	ERX15431384	DX533_329750_25R442-21_S85_L000_R1_001.fastq.gz	DX533_329750_25R442-21_S85_L000_R1_001.fastq.gz	ERR16040694	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/094/ERR16040694/ERR16040694_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329750.bam	P-MTAB-161410	V. Boehm	DX533_329750.bam.bai	wild type genotype	SMG1i	1	micromolar	24	hour
DX533_329750	ERS28356041	SAMEA120833815	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329750	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329750	sequencing assay	ERX15431384	DX533_329750_25R442-21_S85_L000_R2_001.fastq.gz	DX533_329750_25R442-21_S85_L000_R2_001.fastq.gz	ERR16040694	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/094/ERR16040694/ERR16040694_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329750.bam	P-MTAB-161410	V. Boehm	DX533_329750.bam.bai	wild type genotype	SMG1i	1	micromolar	24	hour
DX533_329751	ERS28356042	SAMEA120833816	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329751	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329751	sequencing assay	ERX15431385	DX533_329751_25R442-22_S86_L000_R2_001.fastq.gz	DX533_329751_25R442-22_S86_L000_R2_001.fastq.gz	ERR16040695	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/095/ERR16040695/ERR16040695_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329751.bam	P-MTAB-161410	V. Boehm	DX533_329751.bam.bai	SMG8-KO-clone 4	SMG1i	1	micromolar	24	hour
DX533_329751	ERS28356042	SAMEA120833816	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329751	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329751	sequencing assay	ERX15431385	DX533_329751_25R442-22_S86_L000_R1_001.fastq.gz	DX533_329751_25R442-22_S86_L000_R1_001.fastq.gz	ERR16040695	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/095/ERR16040695/ERR16040695_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329751.bam	P-MTAB-161410	V. Boehm	DX533_329751.bam.bai	SMG8-KO-clone 4	SMG1i	1	micromolar	24	hour
DX533_329752	ERS28356043	SAMEA120833817	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329752	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329752	sequencing assay	ERX15431386	DX533_329752_25R442-23_S87_L000_R1_001.fastq.gz	DX533_329752_25R442-23_S87_L000_R1_001.fastq.gz	ERR16040696	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/096/ERR16040696/ERR16040696_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329752.bam	P-MTAB-161410	V. Boehm	DX533_329752.bam.bai	SMG8-KO-clone 4	SMG1i	1	micromolar	24	hour
DX533_329752	ERS28356043	SAMEA120833817	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329752	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329752	sequencing assay	ERX15431386	DX533_329752_25R442-23_S87_L000_R2_001.fastq.gz	DX533_329752_25R442-23_S87_L000_R2_001.fastq.gz	ERR16040696	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/096/ERR16040696/ERR16040696_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329752.bam	P-MTAB-161410	V. Boehm	DX533_329752.bam.bai	SMG8-KO-clone 4	SMG1i	1	micromolar	24	hour
