Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]
DX533_329735	ERS28356026	SAMEA120833800	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329735	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329735	sequencing assay	ERX15431369	DX533_329735_25R442-6_S70_L000_R1_001.fastq.gz	DX533_329735_25R442-6_S70_L000_R1_001.fastq.gz	ERR16040679	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/079/ERR16040679/ERR16040679_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329735.bam	P-MTAB-161410	V. Boehm	DX533_329735.bam.bai	SMG8-KO-clone 4	none				
DX533_329735	ERS28356026	SAMEA120833800	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329735	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329735	sequencing assay	ERX15431369	DX533_329735_25R442-6_S70_L000_R2_001.fastq.gz	DX533_329735_25R442-6_S70_L000_R2_001.fastq.gz	ERR16040679	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/079/ERR16040679/ERR16040679_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329735.bam	P-MTAB-161410	V. Boehm	DX533_329735.bam.bai	SMG8-KO-clone 4	none				
DX533_329736	ERS28356027	SAMEA120833801	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329736	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329736	sequencing assay	ERX15431370	DX533_329736_25R442-7_S71_L000_R2_001.fastq.gz	DX533_329736_25R442-7_S71_L000_R2_001.fastq.gz	ERR16040680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/080/ERR16040680/ERR16040680_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329736.bam	P-MTAB-161410	V. Boehm	DX533_329736.bam.bai	SMG9-KO-clone 7B	none				
DX533_329736	ERS28356027	SAMEA120833801	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329736	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329736	sequencing assay	ERX15431370	DX533_329736_25R442-7_S71_L000_R1_001.fastq.gz	DX533_329736_25R442-7_S71_L000_R1_001.fastq.gz	ERR16040680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/080/ERR16040680/ERR16040680_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329736.bam	P-MTAB-161410	V. Boehm	DX533_329736.bam.bai	SMG9-KO-clone 7B	none				
DX533_329737	ERS28356028	SAMEA120833802	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329737	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329737	sequencing assay	ERX15431371	DX533_329737_25R442-8_S72_L000_R1_001.fastq.gz	DX533_329737_25R442-8_S72_L000_R1_001.fastq.gz	ERR16040681	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/081/ERR16040681/ERR16040681_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329737.bam	P-MTAB-161410	V. Boehm	DX533_329737.bam.bai	SMG9-KO-clone 7B	none				
DX533_329737	ERS28356028	SAMEA120833802	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329737	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329737	sequencing assay	ERX15431371	DX533_329737_25R442-8_S72_L000_R2_001.fastq.gz	DX533_329737_25R442-8_S72_L000_R2_001.fastq.gz	ERR16040681	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/081/ERR16040681/ERR16040681_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329737.bam	P-MTAB-161410	V. Boehm	DX533_329737.bam.bai	SMG9-KO-clone 7B	none				
DX533_329738	ERS28356029	SAMEA120833803	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329738	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329738	sequencing assay	ERX15431372	DX533_329738_25R442-9_S73_L000_R2_001.fastq.gz	DX533_329738_25R442-9_S73_L000_R2_001.fastq.gz	ERR16040682	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/082/ERR16040682/ERR16040682_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329738.bam	P-MTAB-161410	V. Boehm	DX533_329738.bam.bai	SMG9-KO-clone 7B	none				
DX533_329738	ERS28356029	SAMEA120833803	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG9-KO-clone 7B	CRISPR/Cas9	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329738	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329738	sequencing assay	ERX15431372	DX533_329738_25R442-9_S73_L000_R1_001.fastq.gz	DX533_329738_25R442-9_S73_L000_R1_001.fastq.gz	ERR16040682	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/082/ERR16040682/ERR16040682_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329738.bam	P-MTAB-161410	V. Boehm	DX533_329738.bam.bai	SMG9-KO-clone 7B	none				
DX533_329739	ERS28356030	SAMEA120833804	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329739	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329739	sequencing assay	ERX15431373	DX533_329739_25R442-10_S74_L000_R2_001.fastq.gz	DX533_329739_25R442-10_S74_L000_R2_001.fastq.gz	ERR16040683	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/083/ERR16040683/ERR16040683_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329739.bam	P-MTAB-161410	V. Boehm	DX533_329739.bam.bai	wild type genotype	SMG1i	0.1	micromolar	24	hour
DX533_329739	ERS28356030	SAMEA120833804	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329739	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329739	sequencing assay	ERX15431373	DX533_329739_25R442-10_S74_L000_R1_001.fastq.gz	DX533_329739_25R442-10_S74_L000_R1_001.fastq.gz	ERR16040683	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/083/ERR16040683/ERR16040683_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329739.bam	P-MTAB-161410	V. Boehm	DX533_329739.bam.bai	wild type genotype	SMG1i	0.1	micromolar	24	hour
