Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
A006850321_209282	ERS18330956	SAMEA115333770	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209282	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209282	sequencing assay	ERX12058245		A006850321_209282_S36_L000_R1_001.fastq.gz	A006850321_209282_S36_L000_R1_001.fastq.gz	ERR12684132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12684132/ERR12684132_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209282.bam	P-MTAB-141330	V. Boehm	A006850321_209282.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209282	ERS18330956	SAMEA115333770	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209282	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209282	sequencing assay	ERX12058245		A006850321_209282_S36_L000_R2_001.fastq.gz	A006850321_209282_S36_L000_R2_001.fastq.gz	ERR12684132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12684132/ERR12684132_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209282.bam	P-MTAB-141330	V. Boehm	A006850321_209282.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209284	ERS18330957	SAMEA115333771	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209284	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209284	sequencing assay	ERX12058246		A006850321_209284_S37_L000_R2_001.fastq.gz	A006850321_209284_S37_L000_R2_001.fastq.gz	ERR12684133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/033/ERR12684133/ERR12684133_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209284.bam	P-MTAB-141330	V. Boehm	A006850321_209284.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209284	ERS18330957	SAMEA115333771	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209284	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209284	sequencing assay	ERX12058246		A006850321_209284_S37_L000_R1_001.fastq.gz	A006850321_209284_S37_L000_R1_001.fastq.gz	ERR12684133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/033/ERR12684133/ERR12684133_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209284.bam	P-MTAB-141330	V. Boehm	A006850321_209284.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209286	ERS18330958	SAMEA115333772	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209286	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209286	sequencing assay	ERX12058247		A006850321_209286_S38_L000_R1_001.fastq.gz	A006850321_209286_S38_L000_R1_001.fastq.gz	ERR12684134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/034/ERR12684134/ERR12684134_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209286.bam	P-MTAB-141330	V. Boehm	A006850321_209286.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209286	ERS18330958	SAMEA115333772	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209286	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209286	sequencing assay	ERX12058247		A006850321_209286_S38_L000_R2_001.fastq.gz	A006850321_209286_S38_L000_R2_001.fastq.gz	ERR12684134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/034/ERR12684134/ERR12684134_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209286.bam	P-MTAB-141330	V. Boehm	A006850321_209286.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209288	ERS18330959	SAMEA115333773	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209288	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209288	sequencing assay	ERX12058248		A006850321_209288_S39_L000_R2_001.fastq.gz	A006850321_209288_S39_L000_R2_001.fastq.gz	ERR12684135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/035/ERR12684135/ERR12684135_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209288.bam	P-MTAB-141330	V. Boehm	A006850321_209288.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209288	ERS18330959	SAMEA115333773	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209288	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209288	sequencing assay	ERX12058248		A006850321_209288_S39_L000_R1_001.fastq.gz	A006850321_209288_S39_L000_R1_001.fastq.gz	ERR12684135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/035/ERR12684135/ERR12684135_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209288.bam	P-MTAB-141330	V. Boehm	A006850321_209288.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209291	ERS18330960	SAMEA115333774	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209291	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209291	sequencing assay	ERX12058249		A006850321_209291_S40_L000_R2_001.fastq.gz	A006850321_209291_S40_L000_R2_001.fastq.gz	ERR12684136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/036/ERR12684136/ERR12684136_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209291.bam	P-MTAB-141330	V. Boehm	A006850321_209291.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209291	ERS18330960	SAMEA115333774	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	wild type genotype	none	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209291	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209291	sequencing assay	ERX12058249		A006850321_209291_S40_L000_R1_001.fastq.gz	A006850321_209291_S40_L000_R1_001.fastq.gz	ERR12684136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/036/ERR12684136/ERR12684136_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209291.bam	P-MTAB-141330	V. Boehm	A006850321_209291.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
