Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[replicate]	Characteristics[sex]	Characteristics[spike in]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genotype]	Factor Value[RNA interference]
Sample 17	ERS4811076	SAMEA7050446	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	2	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 17	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2526	224	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 17	sequencing assay	ERX4277509	SMG7KO_34_S105_L002_R1_001.fastq.gz	SMG7KO_34_S105_L002_R1_001.fastq.gz	ERR4330675	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/005/ERR4330675/ERR4330675_1.fastq.gz	SMG7 knockout clone 34	Luciferase siRNA
Sample 17	ERS4811076	SAMEA7050446	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	2	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 17	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2526	224	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 17	sequencing assay	ERX4277509	SMG7KO_34_S105_L002_R2_001.fastq.gz	SMG7KO_34_S105_L002_R2_001.fastq.gz	ERR4330675	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/005/ERR4330675/ERR4330675_2.fastq.gz	SMG7 knockout clone 34	Luciferase siRNA
Sample 18	ERS4811077	SAMEA7050447	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	3	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 18	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2423	206	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 18	sequencing assay	ERX4277510	SMG7KO_34_S106_L002_R1_001.fastq.gz	SMG7KO_34_S106_L002_R1_001.fastq.gz	ERR4330676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/006/ERR4330676/ERR4330676_1.fastq.gz	SMG7 knockout clone 34	Luciferase siRNA
Sample 18	ERS4811077	SAMEA7050447	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	3	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 18	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2423	206	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 18	sequencing assay	ERX4277510	SMG7KO_34_S106_L002_R2_001.fastq.gz	SMG7KO_34_S106_L002_R2_001.fastq.gz	ERR4330676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/006/ERR4330676/ERR4330676_2.fastq.gz	SMG7 knockout clone 34	Luciferase siRNA
Sample 19	ERS4811078	SAMEA7050448	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	1	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 19	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2739	212	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 19	sequencing assay	ERX4277511	SMG7KO_34_SMG5KD_S107_L002_R1_001.fastq.gz	SMG7KO_34_SMG5KD_S107_L002_R1_001.fastq.gz	ERR4330677	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/007/ERR4330677/ERR4330677_1.fastq.gz	SMG7 knockout clone 34	SMG5 knockdown by siRNA
Sample 19	ERS4811078	SAMEA7050448	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	1	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 19	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2739	212	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 19	sequencing assay	ERX4277511	SMG7KO_34_SMG5KD_S107_L002_R2_001.fastq.gz	SMG7KO_34_SMG5KD_S107_L002_R2_001.fastq.gz	ERR4330677	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/007/ERR4330677/ERR4330677_2.fastq.gz	SMG7 knockout clone 34	SMG5 knockdown by siRNA
Sample 20	ERS4811079	SAMEA7050449	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 20	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2715	213	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 20	sequencing assay	ERX4277512	SMG7KO_34_SMG5KD_S108_L002_R1_001.fastq.gz	SMG7KO_34_SMG5KD_S108_L002_R1_001.fastq.gz	ERR4330678	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/008/ERR4330678/ERR4330678_1.fastq.gz	SMG7 knockout clone 34	SMG5 knockdown by siRNA
Sample 20	ERS4811079	SAMEA7050449	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 20	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2715	213	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 20	sequencing assay	ERX4277512	SMG7KO_34_SMG5KD_S108_L002_R2_001.fastq.gz	SMG7KO_34_SMG5KD_S108_L002_R2_001.fastq.gz	ERR4330678	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/008/ERR4330678/ERR4330678_2.fastq.gz	SMG7 knockout clone 34	SMG5 knockdown by siRNA
Sample 21	ERS4811080	SAMEA7050450	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 21	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2619	207	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 21	sequencing assay	ERX4277513	SMG7KO_34_SMG5KD_S109_L002_R1_001.fastq.gz	SMG7KO_34_SMG5KD_S109_L002_R1_001.fastq.gz	ERR4330679	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330679/ERR4330679_1.fastq.gz	SMG7 knockout clone 34	SMG5 knockdown by siRNA
Sample 21	ERS4811080	SAMEA7050450	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 21	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2619	207	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 21	sequencing assay	ERX4277513	SMG7KO_34_SMG5KD_S109_L002_R2_001.fastq.gz	SMG7KO_34_SMG5KD_S109_L002_R2_001.fastq.gz	ERR4330679	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330679/ERR4330679_2.fastq.gz	SMG7 knockout clone 34	SMG5 knockdown by siRNA
Sample 22	ERS4811081	SAMEA7050451	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	1	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 22	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2785	206	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 22	sequencing assay	ERX4277514	SMG7KO_34_SMG6KD_S110_L002_R1_001.fastq.gz	SMG7KO_34_SMG6KD_S110_L002_R1_001.fastq.gz	ERR4330680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330680/ERR4330680_1.fastq.gz	SMG7 knockout clone 34	SMG6 knockdown by siRNA
Sample 22	ERS4811081	SAMEA7050451	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	1	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 22	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2785	206	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 22	sequencing assay	ERX4277514	SMG7KO_34_SMG6KD_S110_L002_R2_001.fastq.gz	SMG7KO_34_SMG6KD_S110_L002_R2_001.fastq.gz	ERR4330680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330680/ERR4330680_2.fastq.gz	SMG7 knockout clone 34	SMG6 knockdown by siRNA
Sample 23	ERS4811082	SAMEA7050452	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	2	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 23	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	3007	235	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 23	sequencing assay	ERX4277515	SMG7KO_34_SMG6KD_S111_L002_R1_001.fastq.gz	SMG7KO_34_SMG6KD_S111_L002_R1_001.fastq.gz	ERR4330681	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4330681/ERR4330681_1.fastq.gz	SMG7 knockout clone 34	SMG6 knockdown by siRNA
Sample 23	ERS4811082	SAMEA7050452	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	2	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 23	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	3007	235	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 23	sequencing assay	ERX4277515	SMG7KO_34_SMG6KD_S111_L002_R2_001.fastq.gz	SMG7KO_34_SMG6KD_S111_L002_R2_001.fastq.gz	ERR4330681	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4330681/ERR4330681_2.fastq.gz	SMG7 knockout clone 34	SMG6 knockdown by siRNA
Sample 24	ERS4811083	SAMEA7050453	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	3	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 24	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2734	201	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 24	sequencing assay	ERX4277516	SMG7KO_34_SMG6KD_S112_L002_R1_001.fastq.gz	SMG7KO_34_SMG6KD_S112_L002_R1_001.fastq.gz	ERR4330682	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/002/ERR4330682/ERR4330682_1.fastq.gz	SMG7 knockout clone 34	SMG6 knockdown by siRNA
Sample 24	ERS4811083	SAMEA7050453	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	3	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 24	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2734	201	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 24	sequencing assay	ERX4277516	SMG7KO_34_SMG6KD_S112_L002_R2_001.fastq.gz	SMG7KO_34_SMG6KD_S112_L002_R2_001.fastq.gz	ERR4330682	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/002/ERR4330682/ERR4330682_2.fastq.gz	SMG7 knockout clone 34	SMG6 knockdown by siRNA
