Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[replicate]	Characteristics[genetic modification]	Comment[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[genotype]	Factor Value[RNA interference]
A006200071_119425	ERS7104730	SAMEA9389638	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119425	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119425	sequencing assay	ERX5857282	A006200071_119425_2.fq.gz	A006200071_119425_2.fq.gz	ERR6222332	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6222332/ERR6222332_2.fastq.gz	P-MTAB-112026	A006200071_119425.bam	P-MTAB-112026	A006200071_119425.bam.bai	UPF3A-UPF3B double knockout clone 2	Luciferase siRNA
A006200071_119427	ERS7104731	SAMEA9389639	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119427	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119427	sequencing assay	ERX5857283	A006200071_119427_1.fq.gz	A006200071_119427_1.fq.gz	ERR6222333	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/003/ERR6222333/ERR6222333_1.fastq.gz	P-MTAB-112026	A006200071_119427.bam	P-MTAB-112026	A006200071_119427.bam.bai	UPF3A-UPF3B double knockout clone 2	Luciferase siRNA
A006200071_119427	ERS7104731	SAMEA9389639	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119427	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119427	sequencing assay	ERX5857283	A006200071_119427_2.fq.gz	A006200071_119427_2.fq.gz	ERR6222333	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/003/ERR6222333/ERR6222333_2.fastq.gz	P-MTAB-112026	A006200071_119427.bam	P-MTAB-112026	A006200071_119427.bam.bai	UPF3A-UPF3B double knockout clone 2	Luciferase siRNA
A006200071_119429	ERS7104732	SAMEA9389640	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119429	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119429	sequencing assay	ERX5857284	A006200071_119429_1.fq.gz	A006200071_119429_1.fq.gz	ERR6222334	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/004/ERR6222334/ERR6222334_1.fastq.gz	P-MTAB-112026	A006200071_119429.bam	P-MTAB-112026	A006200071_119429.bam.bai	UPF3A-UPF3B double knockout clone 2	Luciferase siRNA
A006200071_119429	ERS7104732	SAMEA9389640	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119429	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119429	sequencing assay	ERX5857284	A006200071_119429_2.fq.gz	A006200071_119429_2.fq.gz	ERR6222334	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/004/ERR6222334/ERR6222334_2.fastq.gz	P-MTAB-112026	A006200071_119429.bam	P-MTAB-112026	A006200071_119429.bam.bai	UPF3A-UPF3B double knockout clone 2	Luciferase siRNA
A006200071_119431	ERS7104733	SAMEA9389641	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119431	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119431	sequencing assay	ERX5857285	A006200071_119431_1.fq.gz	A006200071_119431_1.fq.gz	ERR6222335	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/005/ERR6222335/ERR6222335_1.fastq.gz	P-MTAB-112026	A006200071_119431.bam	P-MTAB-112026	A006200071_119431.bam.bai	UPF3A-UPF3B double knockout clone 2	UPF3B siRNA
A006200071_119431	ERS7104733	SAMEA9389641	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119431	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119431	sequencing assay	ERX5857285	A006200071_119431_2.fq.gz	A006200071_119431_2.fq.gz	ERR6222335	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/005/ERR6222335/ERR6222335_2.fastq.gz	P-MTAB-112026	A006200071_119431.bam	P-MTAB-112026	A006200071_119431.bam.bai	UPF3A-UPF3B double knockout clone 2	UPF3B siRNA
A006200071_119433	ERS7104734	SAMEA9389642	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119433	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119433	sequencing assay	ERX5857286	A006200071_119433_1.fq.gz	A006200071_119433_1.fq.gz	ERR6222336	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/006/ERR6222336/ERR6222336_1.fastq.gz	P-MTAB-112026	A006200071_119433.bam	P-MTAB-112026	A006200071_119433.bam.bai	UPF3A-UPF3B double knockout clone 2	UPF3B siRNA
A006200071_119433	ERS7104734	SAMEA9389642	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119433	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119433	sequencing assay	ERX5857286	A006200071_119433_2.fq.gz	A006200071_119433_2.fq.gz	ERR6222336	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/006/ERR6222336/ERR6222336_2.fastq.gz	P-MTAB-112026	A006200071_119433.bam	P-MTAB-112026	A006200071_119433.bam.bai	UPF3A-UPF3B double knockout clone 2	UPF3B siRNA
A006200071_119435	ERS7104735	SAMEA9389643	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119435	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119435	sequencing assay	ERX5857287	A006200071_119435_1.fq.gz	A006200071_119435_1.fq.gz	ERR6222337	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/007/ERR6222337/ERR6222337_1.fastq.gz	P-MTAB-112026	A006200071_119435.bam	P-MTAB-112026	A006200071_119435.bam.bai	UPF3A-UPF3B double knockout clone 2	UPF3B siRNA
A006200071_119435	ERS7104735	SAMEA9389643	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119435	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119435	sequencing assay	ERX5857287	A006200071_119435_2.fq.gz	A006200071_119435_2.fq.gz	ERR6222337	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/007/ERR6222337/ERR6222337_2.fastq.gz	P-MTAB-112026	A006200071_119435.bam	P-MTAB-112026	A006200071_119435.bam.bai	UPF3A-UPF3B double knockout clone 2	UPF3B siRNA
