Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[replicate]	Characteristics[genetic modification]	Comment[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[genotype]	Factor Value[RNA interference]
A006200071_119411	ERS7104723	SAMEA9389631	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3B knockout clone 90	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119411	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119411	sequencing assay	ERX5857275	A006200071_119411_1.fq.gz	A006200071_119411_1.fq.gz	ERR6222325	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/005/ERR6222325/ERR6222325_1.fastq.gz	P-MTAB-112026	A006200071_119411.bam	P-MTAB-112026	A006200071_119411.bam.bai	UPF3B knockout clone 90	Luciferase siRNA
A006200071_119411	ERS7104723	SAMEA9389631	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3B knockout clone 90	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119411	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119411	sequencing assay	ERX5857275	A006200071_119411_2.fq.gz	A006200071_119411_2.fq.gz	ERR6222325	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/005/ERR6222325/ERR6222325_2.fastq.gz	P-MTAB-112026	A006200071_119411.bam	P-MTAB-112026	A006200071_119411.bam.bai	UPF3B knockout clone 90	Luciferase siRNA
A006200071_119413	ERS7104724	SAMEA9389632	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119413	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119413	sequencing assay	ERX5857276	A006200071_119413_1.fq.gz	A006200071_119413_1.fq.gz	ERR6222326	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/006/ERR6222326/ERR6222326_1.fastq.gz	P-MTAB-112026	A006200071_119413.bam	P-MTAB-112026	A006200071_119413.bam.bai	UPF3A-UPF3B double knockout clone 1	Luciferase siRNA
A006200071_119413	ERS7104724	SAMEA9389632	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119413	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119413	sequencing assay	ERX5857276	A006200071_119413_2.fq.gz	A006200071_119413_2.fq.gz	ERR6222326	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/006/ERR6222326/ERR6222326_2.fastq.gz	P-MTAB-112026	A006200071_119413.bam	P-MTAB-112026	A006200071_119413.bam.bai	UPF3A-UPF3B double knockout clone 1	Luciferase siRNA
A006200071_119415	ERS7104725	SAMEA9389633	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119415	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119415	sequencing assay	ERX5857277	A006200071_119415_1.fq.gz	A006200071_119415_1.fq.gz	ERR6222327	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/007/ERR6222327/ERR6222327_1.fastq.gz	P-MTAB-112026	A006200071_119415.bam	P-MTAB-112026	A006200071_119415.bam.bai	UPF3A-UPF3B double knockout clone 1	Luciferase siRNA
A006200071_119415	ERS7104725	SAMEA9389633	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119415	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119415	sequencing assay	ERX5857277	A006200071_119415_2.fq.gz	A006200071_119415_2.fq.gz	ERR6222327	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/007/ERR6222327/ERR6222327_2.fastq.gz	P-MTAB-112026	A006200071_119415.bam	P-MTAB-112026	A006200071_119415.bam.bai	UPF3A-UPF3B double knockout clone 1	Luciferase siRNA
A006200071_119417	ERS7104726	SAMEA9389634	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119417	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119417	sequencing assay	ERX5857278	A006200071_119417_1.fq.gz	A006200071_119417_1.fq.gz	ERR6222328	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/008/ERR6222328/ERR6222328_1.fastq.gz	P-MTAB-112026	A006200071_119417.bam	P-MTAB-112026	A006200071_119417.bam.bai	UPF3A-UPF3B double knockout clone 1	Luciferase siRNA
A006200071_119417	ERS7104726	SAMEA9389634	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119417	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119417	sequencing assay	ERX5857278	A006200071_119417_2.fq.gz	A006200071_119417_2.fq.gz	ERR6222328	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/008/ERR6222328/ERR6222328_2.fastq.gz	P-MTAB-112026	A006200071_119417.bam	P-MTAB-112026	A006200071_119417.bam.bai	UPF3A-UPF3B double knockout clone 1	Luciferase siRNA
A006200071_119419	ERS7104727	SAMEA9389635	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119419	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119419	sequencing assay	ERX5857279	A006200071_119419_1.fq.gz	A006200071_119419_1.fq.gz	ERR6222329	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/009/ERR6222329/ERR6222329_1.fastq.gz	P-MTAB-112026	A006200071_119419.bam	P-MTAB-112026	A006200071_119419.bam.bai	UPF3A-UPF3B double knockout clone 1	UPF3B siRNA
A006200071_119419	ERS7104727	SAMEA9389635	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119419	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119419	sequencing assay	ERX5857279	A006200071_119419_2.fq.gz	A006200071_119419_2.fq.gz	ERR6222329	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/009/ERR6222329/ERR6222329_2.fastq.gz	P-MTAB-112026	A006200071_119419.bam	P-MTAB-112026	A006200071_119419.bam.bai	UPF3A-UPF3B double knockout clone 1	UPF3B siRNA
A006200071_119421	ERS7104728	SAMEA9389636	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119421	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119421	sequencing assay	ERX5857280	A006200071_119421_1.fq.gz	A006200071_119421_1.fq.gz	ERR6222330	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/000/ERR6222330/ERR6222330_1.fastq.gz	P-MTAB-112026	A006200071_119421.bam	P-MTAB-112026	A006200071_119421.bam.bai	UPF3A-UPF3B double knockout clone 1	UPF3B siRNA
A006200071_119421	ERS7104728	SAMEA9389636	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119421	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119421	sequencing assay	ERX5857280	A006200071_119421_2.fq.gz	A006200071_119421_2.fq.gz	ERR6222330	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/000/ERR6222330/ERR6222330_2.fastq.gz	P-MTAB-112026	A006200071_119421.bam	P-MTAB-112026	A006200071_119421.bam.bai	UPF3A-UPF3B double knockout clone 1	UPF3B siRNA
A006200071_119423	ERS7104729	SAMEA9389637	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119423	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119423	sequencing assay	ERX5857281	A006200071_119423_1.fq.gz	A006200071_119423_1.fq.gz	ERR6222331	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/001/ERR6222331/ERR6222331_1.fastq.gz	P-MTAB-112026	A006200071_119423.bam	P-MTAB-112026	A006200071_119423.bam.bai	UPF3A-UPF3B double knockout clone 1	UPF3B siRNA
A006200071_119423	ERS7104729	SAMEA9389637	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 1	3	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119423	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119423	sequencing assay	ERX5857281	A006200071_119423_2.fq.gz	A006200071_119423_2.fq.gz	ERR6222331	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/001/ERR6222331/ERR6222331_2.fastq.gz	P-MTAB-112026	A006200071_119423.bam	P-MTAB-112026	A006200071_119423.bam.bai	UPF3A-UPF3B double knockout clone 1	UPF3B siRNA
A006200071_119425	ERS7104730	SAMEA9389638	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3A-UPF3B double knockout clone 2	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119425	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119425	sequencing assay	ERX5857282	A006200071_119425_1.fq.gz	A006200071_119425_1.fq.gz	ERR6222332	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6222332/ERR6222332_1.fastq.gz	P-MTAB-112026	A006200071_119425.bam	P-MTAB-112026	A006200071_119425.bam.bai	UPF3A-UPF3B double knockout clone 2	Luciferase siRNA
