Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
AID_0h_B_UPF1-AID7-NT	ERS18335232	SAMEA115337349	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_B_UPF1-AID7-NT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_B_UPF1-AID7-NT	sequencing assay	ERX12059977	P-MTAB-141165	AID_0h_B_UPF1-AID7-NT_R1_001.fastq.gz	AID_0h_B_UPF1-AID7-NT_R1_001.fastq.gz	ERR12685863	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/063/ERR12685863/ERR12685863_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-NT.bam	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-NT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_B_UPF1-AID7-NT	ERS18335232	SAMEA115337349	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_B_UPF1-AID7-NT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_B_UPF1-AID7-NT	sequencing assay	ERX12059977	P-MTAB-141165	AID_0h_B_UPF1-AID7-NT_R2_001.fastq.gz	AID_0h_B_UPF1-AID7-NT_R2_001.fastq.gz	ERR12685863	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/063/ERR12685863/ERR12685863_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-NT.bam	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-NT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_12h_A_parental	ERS18335233	SAMEA115337350	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_A_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_A_parental	sequencing assay	ERX12059978	P-MTAB-141165	AID_12h_A_parental_R1_001.fastq.gz	AID_12h_A_parental_R1_001.fastq.gz	ERR12685864	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/064/ERR12685864/ERR12685864_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_A_parental.bam	P-MTAB-141168	V. Boehm	AID_12h_A_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_A_parental	ERS18335233	SAMEA115337350	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_A_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_A_parental	sequencing assay	ERX12059978	P-MTAB-141165	AID_12h_A_parental_R2_001.fastq.gz	AID_12h_A_parental_R2_001.fastq.gz	ERR12685864	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/064/ERR12685864/ERR12685864_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_A_parental.bam	P-MTAB-141168	V. Boehm	AID_12h_A_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_A_UPF1-AID7-CT	ERS18335234	SAMEA115337351	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_A_UPF1-AID7-CT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_A_UPF1-AID7-CT	sequencing assay	ERX12059979	P-MTAB-141165	AID_12h_A_UPF1-AID7-CT_R1_001.fastq.gz	AID_12h_A_UPF1-AID7-CT_R1_001.fastq.gz	ERR12685865	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12685865/ERR12685865_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-CT.bam	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-CT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_A_UPF1-AID7-CT	ERS18335234	SAMEA115337351	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_A_UPF1-AID7-CT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_A_UPF1-AID7-CT	sequencing assay	ERX12059979	P-MTAB-141165	AID_12h_A_UPF1-AID7-CT_R2_001.fastq.gz	AID_12h_A_UPF1-AID7-CT_R2_001.fastq.gz	ERR12685865	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12685865/ERR12685865_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-CT.bam	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-CT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_A_UPF1-AID7-NT	ERS18335235	SAMEA115337352	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_A_UPF1-AID7-NT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_A_UPF1-AID7-NT	sequencing assay	ERX12059980	P-MTAB-141165	AID_12h_A_UPF1-AID7-NT_R1_001.fastq.gz	AID_12h_A_UPF1-AID7-NT_R1_001.fastq.gz	ERR12685866	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12685866/ERR12685866_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-NT.bam	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-NT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_A_UPF1-AID7-NT	ERS18335235	SAMEA115337352	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_A_UPF1-AID7-NT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_A_UPF1-AID7-NT	sequencing assay	ERX12059980	P-MTAB-141165	AID_12h_A_UPF1-AID7-NT_R2_001.fastq.gz	AID_12h_A_UPF1-AID7-NT_R2_001.fastq.gz	ERR12685866	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12685866/ERR12685866_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-NT.bam	P-MTAB-141168	V. Boehm	AID_12h_A_UPF1-AID7-NT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_B_parental	ERS18335236	SAMEA115337353	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_B_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_B_parental	sequencing assay	ERX12059981	P-MTAB-141165	AID_12h_B_parental_R1_001.fastq.gz	AID_12h_B_parental_R1_001.fastq.gz	ERR12685867	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12685867/ERR12685867_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_B_parental.bam	P-MTAB-141168	V. Boehm	AID_12h_B_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
AID_12h_B_parental	ERS18335236	SAMEA115337353	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_12h_B_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_12h_B_parental	sequencing assay	ERX12059981	P-MTAB-141165	AID_12h_B_parental_R2_001.fastq.gz	AID_12h_B_parental_R2_001.fastq.gz	ERR12685867	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12685867/ERR12685867_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_12h_B_parental.bam	P-MTAB-141168	V. Boehm	AID_12h_B_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
