Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
HFF_C_smgi	ERS22945693	SAMEA117610548	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_C_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_C_smgi	sequencing assay	ERX13563901		HFF_C_smgi_S44_R2_001.fastq.gz	HFF_C_smgi_S44_R2_001.fastq.gz	ERR14161363	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/063/ERR14161363/ERR14161363_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_C_smgi	ERS22945693	SAMEA117610548	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_C_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_C_smgi	sequencing assay	ERX13563901		HFF_C_smgi_S26_R1_001.fastq.gz	HFF_C_smgi_S26_R1_001.fastq.gz	ERR14161362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/062/ERR14161362/ERR14161362_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_X_dmso	ERS22945694	SAMEA117610549	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_X_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_X_dmso	sequencing assay	ERX13563902		HFF_X_dmso_S27_R2_001.fastq.gz	HFF_X_dmso_S27_R2_001.fastq.gz	ERR14161364	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/064/ERR14161364/ERR14161364_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_X_dmso	ERS22945694	SAMEA117610549	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_X_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_X_dmso	sequencing assay	ERX13563902		HFF_X_dmso_S27_R1_001.fastq.gz	HFF_X_dmso_S27_R1_001.fastq.gz	ERR14161364	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/064/ERR14161364/ERR14161364_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_X_dmso	ERS22945694	SAMEA117610549	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_X_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_X_dmso	sequencing assay	ERX13563902		HFF_X_dmso_S45_R2_001.fastq.gz	HFF_X_dmso_S45_R2_001.fastq.gz	ERR14161365	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/065/ERR14161365/ERR14161365_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_X_dmso	ERS22945694	SAMEA117610549	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_X_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_X_dmso	sequencing assay	ERX13563902		HFF_X_dmso_S45_R1_001.fastq.gz	HFF_X_dmso_S45_R1_001.fastq.gz	ERR14161365	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/065/ERR14161365/ERR14161365_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam	P-MTAB-150507	V. Boehm	HFF_X_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Y_dmso	ERS22945695	SAMEA117610550	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Y_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Y_dmso	sequencing assay	ERX13563903		HFF_Y_dmso_S28_R1_001.fastq.gz	HFF_Y_dmso_S28_R1_001.fastq.gz	ERR14161366	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/066/ERR14161366/ERR14161366_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Y_dmso	ERS22945695	SAMEA117610550	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Y_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Y_dmso	sequencing assay	ERX13563903		HFF_Y_dmso_S46_R2_001.fastq.gz	HFF_Y_dmso_S46_R2_001.fastq.gz	ERR14161367	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/067/ERR14161367/ERR14161367_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Y_dmso	ERS22945695	SAMEA117610550	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Y_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Y_dmso	sequencing assay	ERX13563903		HFF_Y_dmso_S46_R1_001.fastq.gz	HFF_Y_dmso_S46_R1_001.fastq.gz	ERR14161367	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/067/ERR14161367/ERR14161367_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Y_dmso	ERS22945695	SAMEA117610550	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Y_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Y_dmso	sequencing assay	ERX13563903		HFF_Y_dmso_S28_R2_001.fastq.gz	HFF_Y_dmso_S28_R2_001.fastq.gz	ERR14161366	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/066/ERR14161366/ERR14161366_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Y_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Z_dmso	ERS22945696	SAMEA117610551	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Z_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Z_dmso	sequencing assay	ERX13563904		HFF_Z_dmso_S47_R1_001.fastq.gz	HFF_Z_dmso_S47_R1_001.fastq.gz	ERR14161368	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/068/ERR14161368/ERR14161368_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Z_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Z_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Z_dmso	ERS22945696	SAMEA117610551	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Z_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Z_dmso	sequencing assay	ERX13563904		HFF_Z_dmso_S47_R2_001.fastq.gz	HFF_Z_dmso_S47_R2_001.fastq.gz	ERR14161368	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/068/ERR14161368/ERR14161368_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Z_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Z_dmso.bam.bai	none					0	hour	EFO	UO_0000032
HFF_Z_dmso	ERS22945696	SAMEA117610551	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_Z_dmso	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_Z_dmso	sequencing assay	ERX13563904		HFF_Z_dmso_S29_R2_001.fastq.gz	HFF_Z_dmso_S29_R2_001.fastq.gz	ERR14161369	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/069/ERR14161369/ERR14161369_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_Z_dmso.bam	P-MTAB-150507	V. Boehm	HFF_Z_dmso.bam.bai	none					0	hour	EFO	UO_0000032
